districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
坪林區,保坪,,1118,坪林區,坪林,坪林,40-1
坪林區,保坪,,1119,坪林區,坪林,坪林,40-2
坪林區,保坪,,112,坪林區,坪林,水柳腳,278
坪林區,保坪,,1120,坪林區,坪林,坪林,38-3
坪林區,保坪,,1121,坪林區,坪林,坪林,40-18
坪林區,保坪,,1122,坪林區,坪林,坪林,40-19
坪林區,保坪,,1123,坪林區,坪林,坪林,40-20
坪林區,保坪,,1124,坪林區,坪林,坪林,40-21
坪林區,保坪,,1125,坪林區,坪林,坪林,40-22
坪林區,保坪,,1126,坪林區,坪林,坪林,40-23
坪林區,保坪,,1127,坪林區,坪林,坪林,40-24
坪林區,保坪,,1128,坪林區,坪林,坪林,39-22
坪林區,保坪,,1129,坪林區,坪林,坪林,39-8
坪林區,保坪,,113,坪林區,坪林,水柳腳,279
坪林區,保坪,,1130,坪林區,坪林,坪林,58-1
坪林區,保坪,,1131,坪林區,坪林,坪林,59-1
坪林區,保坪,,1132,坪林區,坪林,坪林,39-1
坪林區,保坪,,1133,坪林區,坪林,坪林,37-14
坪林區,保坪,,1134,坪林區,坪林,坪林,36-8
坪林區,保坪,,1135,坪林區,坪林,坪林,38-2
坪林區,保坪,,1136,坪林區,坪林,坪林,38-1
坪林區,保坪,,1137,坪林區,坪林,坪林,38
坪林區,保坪,,1138,坪林區,坪林,坪林,38-4
坪林區,保坪,,1139,坪林區,坪林,坪林,37-10
坪林區,保坪,,114,坪林區,坪林,水柳腳,283-2
坪林區,保坪,,1140,坪林區,坪林,坪林,37-9
坪林區,保坪,,1141,坪林區,坪林,坪林,37-5
坪林區,保坪,,1142,坪林區,坪林,坪林,37-8
坪林區,保坪,,1143,坪林區,坪林,坪林,37-7
坪林區,保坪,,1144,坪林區,坪林,坪林,37-13
坪林區,保坪,,1145,坪林區,坪林,坪林,37-12
坪林區,保坪,,1146,坪林區,坪林,坪林,37-6
坪林區,保坪,,1147,坪林區,坪林,坪林,37-2
坪林區,保坪,,1148,坪林區,坪林,坪林,37-4
坪林區,保坪,,1149,坪林區,坪林,坪林,37
坪林區,保坪,,115,坪林區,坪林,水柳腳,283
坪林區,保坪,,1150,坪林區,坪林,坪林,36-16
坪林區,保坪,,1151,坪林區,坪林,坪林,37-1
坪林區,保坪,,1152,坪林區,坪林,坪林,37-11
坪林區,保坪,,1153,坪林區,坪林,坪林,62-2
坪林區,保坪,,1154,坪林區,坪林,坪林,62
坪林區,保坪,,1155,坪林區,坪林,坪林,37-3
坪林區,保坪,,1156,坪林區,坪林,坪林,62-4
坪林區,保坪,,1157,坪林區,坪林,坪林,62-1
坪林區,保坪,,1158,坪林區,坪林,坪林,36-28
坪林區,保坪,,1159,坪林區,坪林,坪林,36
坪林區,保坪,,116,坪林區,坪林,水柳腳,283-1
坪林區,保坪,,1160,坪林區,坪林,坪林,34
坪林區,保坪,,1161,坪林區,坪林,坪林,36-30
坪林區,保坪,,1162,坪林區,坪林,坪林,62-6
坪林區,保坪,,1163,坪林區,坪林,坪林,14-37
坪林區,保坪,,1164,坪林區,坪林,坪林,14-38
坪林區,保坪,,1165,坪林區,坪林,坪林,62-5
坪林區,保坪,,1166,坪林區,坪林,坪林,14-39
坪林區,保坪,,1167,坪林區,坪林,坪林,14-16
坪林區,保坪,,1168,坪林區,坪林,坪林,14-40
坪林區,保坪,,1169,坪林區,坪林,坪林,14-24
坪林區,保坪,,117,坪林區,坪林,水柳腳,282-1
坪林區,保坪,,1170,坪林區,坪林,坪林,14-25
坪林區,保坪,,1171,坪林區,坪林,坪林,14-12
坪林區,保坪,,1172,坪林區,坪林,坪林,14-15
坪林區,保坪,,1173,坪林區,坪林,坪林,32-5
坪林區,保坪,,1174,坪林區,坪林,坪林,32-4
坪林區,保坪,,1175,坪林區,坪林,坪林,14-11
坪林區,保坪,,1176,坪林區,坪林,坪林,14-26
坪林區,保坪,,1177,坪林區,坪林,坪林,14-27
坪林區,保坪,,1178,坪林區,坪林,坪林,14-10
坪林區,保坪,,1179,坪林區,坪林,坪林,32-3
坪林區,保坪,,118,坪林區,坪林,水柳腳,282
坪林區,保坪,,1180,坪林區,坪林,坪林,32-2
坪林區,保坪,,1181,坪林區,坪林,坪林,14-9
坪林區,保坪,,1182,坪林區,坪林,坪林,14-28
坪林區,保坪,,1183,坪林區,坪林,坪林,14-29
坪林區,保坪,,1184,坪林區,坪林,坪林,14-8
坪林區,保坪,,1185,坪林區,坪林,坪林,32-1
坪林區,保坪,,1186,坪林區,坪林,坪林,14-6
坪林區,保坪,,1187,坪林區,坪林,坪林,32
坪林區,保坪,,1188,坪林區,坪林,坪林,14-31
坪林區,保坪,,1189,坪林區,坪林,坪林,14-7
坪林區,保坪,,119,坪林區,坪林,水柳腳,279-1
坪林區,保坪,,1190,坪林區,坪林,坪林,14-30
坪林區,保坪,,1191,坪林區,坪林,坪林,14-5
坪林區,保坪,,1192,坪林區,坪林,坪林,14-4
坪林區,保坪,,1193,坪林區,坪林,坪林,14-21
坪林區,保坪,,1194,坪林區,坪林,坪林,14-22
坪林區,保坪,,1195,坪林區,坪林,坪林,14-3
坪林區,保坪,,1196,坪林區,坪林,坪林,42-18
坪林區,保坪,,1197,坪林區,坪林,坪林,31
坪林區,保坪,,1198,坪林區,坪林,坪林,31-1
坪林區,保坪,,1199,坪林區,坪林,坪林,31-2
坪林區,保坪,,12,坪林區,坪林,水柳腳,183-16
坪林區,保坪,,120,坪林區,坪林,水柳腳,279-2
坪林區,保坪,,1200,坪林區,坪林,坪林,30
坪林區,保坪,,1201,坪林區,坪林,坪林,29
