districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
鶯歌區,三鶯,,2130000,鶯歌區,南靖厝,,3420006
鶯歌區,三鶯,,2140000,鶯歌區,南靖厝,,3420012
鶯歌區,三鶯,,2150000,鶯歌區,南靖厝,,3420005
鶯歌區,三鶯,,2180000,鶯歌區,南靖厝,,3420007
鶯歌區,三鶯,,2190000,鶯歌區,南靖厝,,3420019
鶯歌區,三鶯,,220000,鶯歌區,南靖厝,,3070000
鶯歌區,三鶯,,2200000,鶯歌區,南靖厝,,3420017
鶯歌區,三鶯,,2210000,鶯歌區,南靖厝,,3390042
鶯歌區,三鶯,,2220000,鶯歌區,南靖厝,,3390041
鶯歌區,三鶯,,2230000,鶯歌區,南靖厝,,3390197
鶯歌區,三鶯,,2240000,鶯歌區,南靖厝,,3390198
鶯歌區,三鶯,,2250000,鶯歌區,南靖厝,,3390146
鶯歌區,三鶯,,2260000,鶯歌區,南靖厝,,3390147
鶯歌區,三鶯,,2270000,鶯歌區,南靖厝,,3390148
鶯歌區,三鶯,,2280000,鶯歌區,南靖厝,,3390149
鶯歌區,三鶯,,2290000,鶯歌區,南靖厝,,3390150
鶯歌區,三鶯,,230000,鶯歌區,南靖厝,,3060000
鶯歌區,三鶯,,2300000,鶯歌區,南靖厝,,3390151
鶯歌區,三鶯,,2310000,鶯歌區,南靖厝,,3390152
鶯歌區,三鶯,,2320000,鶯歌區,南靖厝,,3390153
鶯歌區,三鶯,,2330000,鶯歌區,南靖厝,,3390154
鶯歌區,三鶯,,2340000,鶯歌區,南靖厝,,3390155
鶯歌區,三鶯,,2350000,鶯歌區,南靖厝,,3390156
鶯歌區,三鶯,,2360000,鶯歌區,南靖厝,,3390157
鶯歌區,三鶯,,2370000,鶯歌區,南靖厝,,3390076
鶯歌區,三鶯,,2380000,鶯歌區,南靖厝,,3390075
鶯歌區,三鶯,,2390000,鶯歌區,南靖厝,,3390074
鶯歌區,三鶯,,240000,鶯歌區,南靖厝,,3050001
鶯歌區,三鶯,,2400000,鶯歌區,南靖厝,,3390073
鶯歌區,三鶯,,2410000,鶯歌區,南靖厝,,3390072
鶯歌區,三鶯,,2420000,鶯歌區,南靖厝,,3390071
鶯歌區,三鶯,,2430000,鶯歌區,南靖厝,,3390070
鶯歌區,三鶯,,2440000,鶯歌區,南靖厝,,3390069
鶯歌區,三鶯,,2450000,鶯歌區,南靖厝,,3390068
鶯歌區,三鶯,,2460000,鶯歌區,南靖厝,,3390067
鶯歌區,三鶯,,2470000,鶯歌區,南靖厝,,3390066
鶯歌區,三鶯,,2480000,鶯歌區,南靖厝,,3390065
鶯歌區,三鶯,,2490000,鶯歌區,南靖厝,,3390079
鶯歌區,三鶯,,250000,鶯歌區,南靖厝,,3050000
鶯歌區,三鶯,,2500000,鶯歌區,南靖厝,,3390078
鶯歌區,三鶯,,2510000,鶯歌區,南靖厝,,3390077
鶯歌區,三鶯,,2520000,鶯歌區,南靖厝,,3390044
鶯歌區,三鶯,,2530000,鶯歌區,南靖厝,,3390043
鶯歌區,三鶯,,2540000,鶯歌區,南靖厝,,3390005
鶯歌區,三鶯,,2550000,鶯歌區,南靖厝,,3390006
鶯歌區,三鶯,,2560000,鶯歌區,南靖厝,,3390080
鶯歌區,三鶯,,2570000,鶯歌區,南靖厝,,3390081
鶯歌區,三鶯,,2580000,鶯歌區,南靖厝,,3390082
鶯歌區,三鶯,,2590000,鶯歌區,南靖厝,,3390083
鶯歌區,三鶯,,260000,鶯歌區,南靖厝,,3010000
鶯歌區,三鶯,,2600000,鶯歌區,南靖厝,,3390084
鶯歌區,三鶯,,2610000,鶯歌區,南靖厝,,3390085
鶯歌區,三鶯,,2620000,鶯歌區,南靖厝,,3390086
鶯歌區,三鶯,,2630000,鶯歌區,南靖厝,,3390087
鶯歌區,三鶯,,2640000,鶯歌區,南靖厝,,3390088
鶯歌區,三鶯,,2650000,鶯歌區,南靖厝,,3390089
鶯歌區,三鶯,,2660000,鶯歌區,南靖厝,,3390090
鶯歌區,三鶯,,2670000,鶯歌區,南靖厝,,3390091
鶯歌區,三鶯,,2680000,鶯歌區,南靖厝,,3390092
鶯歌區,三鶯,,2690000,鶯歌區,南靖厝,,3390093
鶯歌區,三鶯,,270000,鶯歌區,南靖厝,,3020000
鶯歌區,三鶯,,2700000,鶯歌區,南靖厝,,3390094
鶯歌區,三鶯,,2710000,鶯歌區,南靖厝,,3390095
鶯歌區,三鶯,,2720000,鶯歌區,南靖厝,,3390096
鶯歌區,三鶯,,2730000,鶯歌區,南靖厝,,3390271
鶯歌區,三鶯,,2750000,鶯歌區,南靖厝,,3390097
鶯歌區,三鶯,,2760000,鶯歌區,南靖厝,,3390007
鶯歌區,三鶯,,2770000,鶯歌區,南靖厝,,3390020
鶯歌區,三鶯,,2780000,鶯歌區,南靖厝,,3390021
鶯歌區,三鶯,,2790000,鶯歌區,南靖厝,,3390027
鶯歌區,三鶯,,280000,鶯歌區,南靖厝,,3030000
鶯歌區,三鶯,,2810000,鶯歌區,南靖厝,,3390285
鶯歌區,三鶯,,2820000,鶯歌區,南靖厝,,3390228
鶯歌區,三鶯,,2830000,鶯歌區,南靖厝,,3390022
鶯歌區,三鶯,,2840000,鶯歌區,南靖厝,,3390276
鶯歌區,三鶯,,2850000,鶯歌區,南靖厝,,3390023
鶯歌區,三鶯,,2860000,鶯歌區,南靖厝,,3390029
鶯歌區,三鶯,,2870000,鶯歌區,南靖厝,,3390045
鶯歌區,三鶯,,2880000,鶯歌區,南靖厝,,3390143
鶯歌區,三鶯,,2890000,鶯歌區,南靖厝,,3390140
鶯歌區,三鶯,,290000,鶯歌區,南靖厝,,3040000
鶯歌區,三鶯,,2900000,鶯歌區,南靖厝,,3390141
鶯歌區,三鶯,,2910000,鶯歌區,南靖厝,,3390144
鶯歌區,三鶯,,2920000,鶯歌區,南靖厝,,3390145
鶯歌區,三鶯,,2930000,鶯歌區,南靖厝,,3390142
鶯歌區,三鶯,,2940000,鶯歌區,南靖厝,,3390024
鶯歌區,三鶯,,2950000,鶯歌區,南靖厝,,3390059
鶯歌區,三鶯,,2960000,鶯歌區,南靖厝,,3390046
鶯歌區,三鶯,,2970000,鶯歌區,南靖厝,,3390064
鶯歌區,三鶯,,2980000,鶯歌區,南靖厝,,3390060
鶯歌區,三鶯,,2990000,鶯歌區,南靖厝,,3390061
鶯歌區,三鶯,,30000,鶯歌區,南靖厝,,2940000
鶯歌區,三鶯,,3000000,鶯歌區,南靖厝,,3390062
鶯歌區,三鶯,,3010000,鶯歌區,南靖厝,,3390063
鶯歌區,三鶯,,3020000,鶯歌區,南靖厝,,3390030
鶯歌區,三鶯,,3030000,鶯歌區,南靖厝,,3390131
鶯歌區,三鶯,,3040000,鶯歌區,南靖厝,,3390055
鶯歌區,三鶯,,3050000,鶯歌區,南靖厝,,3390102
鶯歌區,三鶯,,3060000,鶯歌區,南靖厝,,3390103
鶯歌區,三鶯,,3070000,鶯歌區,南靖厝,,3390158
鶯歌區,三鶯,,3080000,鶯歌區,南靖厝,,3390013
鶯歌區,三鶯,,310000,鶯歌區,南靖厝,,3190000
鶯歌區,三鶯,,3100000,鶯歌區,南靖厝,,4480000
鶯歌區,三鶯,,3110000,鶯歌區,南靖厝,,4490000
鶯歌區,三鶯,,3120000,鶯歌區,南靖厝,,4490002
鶯歌區,三鶯,,3130000,鶯歌區,南靖厝,,4490001
鶯歌區,三鶯,,3140000,鶯歌區,南靖厝,,3390101
鶯歌區,三鶯,,3150000,鶯歌區,南靖厝,,3390133
鶯歌區,三鶯,,3160000,鶯歌區,南靖厝,,3390031
鶯歌區,三鶯,,3170000,鶯歌區,南靖厝,,3390217
鶯歌區,三鶯,,3180000,鶯歌區,南靖厝,,3390216
鶯歌區,三鶯,,3190000,鶯歌區,南靖厝,,3390215
鶯歌區,三鶯,,320000,鶯歌區,南靖厝,,3190002
鶯歌區,三鶯,,3200000,鶯歌區,南靖厝,,3390214
鶯歌區,三鶯,,3210000,鶯歌區,南靖厝,,3390213
鶯歌區,三鶯,,3220000,鶯歌區,南靖厝,,3390212
鶯歌區,三鶯,,3230000,鶯歌區,南靖厝,,3390211
鶯歌區,三鶯,,3240000,鶯歌區,南靖厝,,3390210
鶯歌區,三鶯,,3250000,鶯歌區,南靖厝,,3390209
